video_id,video_titulo,comentario,idioma,data_coleta,comentario_limpo,sentimento,score,modelo_utilizado
VKf6NF0OD5A,The new and improved YouTube Studio is here,"Check out the entire series on how to use YouTube Studio here: https://www.youtube.com/watch?v=Ygpx7FcLKAY&list=PLpjK416fmKwQ42eDY75Q05uM0g3N9WNXU
We'll walk you through how to navigate all the tabs in YouTube Studio, how to handle copyright, manage your video settings, invite people to help manage your channel, deep-dive into analytics, and much more!",en,2025-10-30,check out the entire series on how to use youtube studio here: we ll walk you through how to navigate all the tabs in youtube studio how to handle copyright manage your video settings invite people to help manage your channel deep dive into analytics and much more,positivo,0.4844852387905121,nlptown/bert-base-multilingual-uncased-sentiment
VKf6NF0OD5A,The new and improved YouTube Studio is here,Wow❤,en,2025-10-30,wow:red heart:,positivo,0.6867051720619202,nlptown/bert-base-multilingual-uncased-sentiment
VKf6NF0OD5A,The new and improved YouTube Studio is here,Nice,pl,2025-10-30,nice,positivo,0.43684086203575134,nlptown/bert-base-multilingual-uncased-sentiment
VKf6NF0OD5A,The new and improved YouTube Studio is here,❤❤❤❤❤,en,2025-10-30,:red heart::red heart::red heart::red heart::red heart:,positivo,0.3158535957336426,nlptown/bert-base-multilingual-uncased-sentiment
VKf6NF0OD5A,The new and improved YouTube Studio is here,Good❤❤❤❤ 0:25,en,2025-10-30,good:red heart::red heart::red heart::red heart: :,positivo,0.3991658389568329,nlptown/bert-base-multilingual-uncased-sentiment
VKf6NF0OD5A,The new and improved YouTube Studio is here,Nice❤❤❤❤❤ 0:14,en,2025-10-30,nice:red heart::red heart::red heart::red heart::red heart: :,positivo,0.48556724190711975,nlptown/bert-base-multilingual-uncased-sentiment
VKf6NF0OD5A,The new and improved YouTube Studio is here,Great tips 💯,en,2025-10-30,great tips :hundred points:,positivo,0.7874755263328552,nlptown/bert-base-multilingual-uncased-sentiment
VKf6NF0OD5A,The new and improved YouTube Studio is here,vreri nice .  😮😮😅,en,2025-10-30,vreri nice :face with open mouth::face with open mouth::grinning face with sweat:,positivo,0.3859080374240875,nlptown/bert-base-multilingual-uncased-sentiment
VKf6NF0OD5A,The new and improved YouTube Studio is here,Great information 👌🏻👌🏻thanks you tube🙏🏻,en,2025-10-30,great information :ok hand light skin tone::ok hand light skin tone:thanks you tube:folded hands light skin tone:,positivo,0.4179516136646271,nlptown/bert-base-multilingual-uncased-sentiment
VKf6NF0OD5A,The new and improved YouTube Studio is here,Thanks for 200 subscribers 😊,en,2025-10-30,thanks for subscribers :smiling face with smiling eyes:,positivo,0.2558552622795105,nlptown/bert-base-multilingual-uncased-sentiment
